Variable,Coefficient
independent_school_count,0.11048656512316322
AnnualIncome_2020,-341764.35589502496
DegreeQual_2021,0.10270386001319665
AverageHousePrice_2017,9.990122634917498e-06
IMD,-0.8663223802763915
