IMD,LifeExpectancy,Sex,Borough,Type
25.472727272727276,78.9879155621377,Male,Regression,Regression
25.70909090909091,78.94402438276832,Male,Regression,Regression
25.945454545454545,78.90013320339894,Male,Regression,Regression
26.18181818181818,78.85624202402956,Male,Regression,Regression
26.41818181818182,78.81235084466017,Male,Regression,Regression
26.654545454545456,78.76845966529079,Male,Regression,Regression
26.89090909090909,78.72456848592141,Male,Regression,Regression
27.127272727272725,78.68067730655203,Male,Regression,Regression
27.363636363636367,78.63678612718265,Male,Regression,Regression
27.6,78.59289494781326,Male,Regression,Regression
27.836363636363636,78.54900376844388,Male,Regression,Regression
28.07272727272727,78.5051125890745,Male,Regression,Regression
28.309090909090912,78.46122140970512,Male,Regression,Regression
28.545454545454547,78.41733023033574,Male,Regression,Regression
28.78181818181818,78.37343905096635,Male,Regression,Regression
29.018181818181816,78.32954787159697,Male,Regression,Regression
29.254545454545458,78.28565669222759,Male,Regression,Regression
29.490909090909092,78.24176551285821,Male,Regression,Regression
29.727272727272727,78.19787433348883,Male,Regression,Regression
29.96363636363636,78.15398315411944,Male,Regression,Regression
30.200000000000003,78.11009197475006,Male,Regression,Regression
30.436363636363637,78.06620079538068,Male,Regression,Regression
30.672727272727272,78.0223096160113,Male,Regression,Regression
30.909090909090907,77.97841843664192,Male,Regression,Regression
31.145454545454548,77.93452725727252,Male,Regression,Regression
31.381818181818183,77.89063607790315,Male,Regression,Regression
31.618181818181817,77.84674489853377,Male,Regression,Regression
31.854545454545452,77.80285371916439,Male,Regression,Regression
32.09090909090909,77.758962539795,Male,Regression,Regression
32.32727272727273,77.71507136042561,Male,Regression,Regression
32.56363636363636,77.67118018105623,Male,Regression,Regression
32.8,77.62728900168685,Male,Regression,Regression
9.4,85.77441494724218,Female,Regression,Regression
9.636363636363637,85.74094356209696,Female,Regression,Regression
9.872727272727273,85.70747217695173,Female,Regression,Regression
10.10909090909091,85.67400079180649,Female,Regression,Regression
10.345454545454546,85.64052940666127,Female,Regression,Regression
10.581818181818182,85.60705802151604,Female,Regression,Regression
10.818181818181818,85.57358663637082,Female,Regression,Regression
11.054545454545455,85.54011525122559,Female,Regression,Regression
11.290909090909091,85.50664386608037,Female,Regression,Regression
