values,Month,Area,Notes
92.57445255,Aug-25,Powys,
77.73760331,Aug-25,"Rhondda, Cynon, Taff",
76.59058544,Aug-25,Swansea,
80.04259259,Aug-25,Torfaen,
78.53472222,Aug-25,Vale of Glamorgan,
81.21165279,Aug-25,Wrexham,
983.074359,Apr-23,Wales,Average
785,Apr-23,Isle of Anglesey,
896,Apr-23,Blaenau Gwent,
1172,Apr-23,Bridgend,
1062,Apr-23,Caerphilly,
960,Apr-23,Cardiff,
958,Apr-23,Carmarthenshire,
744,Apr-23,Ceredigion,
1078,Apr-23,Conwy,
1053,Apr-23,Denbighshire,
924,Apr-23,Flintshire,
1033,Apr-23,Gwynedd,
1144,Apr-23,Merthyr Tydfil,
913,Apr-23,Monmouthshire,
1021,Apr-23,Neath Port Talbot,
963,Apr-23,Newport,
891,Apr-23,Pembrokeshire,
694,Apr-23,Powys,
999,Apr-23,"Rhondda, Cynon, Taff",
1027,Apr-23,Swansea,
874,Apr-23,Torfaen,
1099,Apr-23,Vale of Glamorgan,
1001,Apr-23,Wrexham,
980.4053857,May-23,Wales,Average
888,May-23,Isle of Anglesey,
962,May-23,Blaenau Gwent,
1179,May-23,Bridgend,
982,May-23,Caerphilly,
997,May-23,Cardiff,
919,May-23,Carmarthenshire,
801,May-23,Ceredigion,
1090,May-23,Conwy,
978,May-23,Denbighshire,
966,May-23,Flintshire,
803,May-23,Gwynedd,
1021,May-23,Merthyr Tydfil,
1046,May-23,Monmouthshire,
954,May-23,Neath Port Talbot,
952,May-23,Newport,
888,May-23,Pembrokeshire,
903,May-23,Powys,
1126,May-23,"Rhondda, Cynon, Taff",
978,May-23,Swansea,
835,May-23,Torfaen,
980,May-23,Vale of Glamorgan,
1074,May-23,Wrexham,
989.2724679,Jun-23,Wales,Average
892,Jun-23,Isle of Anglesey,
1044,Jun-23,Blaenau Gwent,
1114,Jun-23,Bridgend,
757,Jun-23,Caerphilly,
1046,Jun-23,Cardiff,
867,Jun-23,Carmarthenshire,
1070,Jun-23,Ceredigion,
1133,Jun-23,Conwy,
957,Jun-23,Denbighshire,
1072,Jun-23,Flintshire,
1066,Jun-23,Gwynedd,
944,Jun-23,Merthyr Tydfil,
929,Jun-23,Monmouthshire,
972,Jun-23,Neath Port Talbot,
1022,Jun-23,Newport,
1076,Jun-23,Pembrokeshire,
817,Jun-23,Powys,
981,Jun-23,"Rhondda, Cynon, Taff",
899,Jun-23,Swansea,
992,Jun-23,Torfaen,
1125,Jun-23,Vale of Glamorgan,
1079,Jun-23,Wrexham,
1023.260904,Jul-23,Wales,Average
1065,Jul-23,Isle of Anglesey,
1027,Jul-23,Blaenau Gwent,
1080,Jul-23,Bridgend,
760,Jul-23,Caerphilly,
1064,Jul-23,Cardiff,
1026,Jul-23,Carmarthenshire,
851,Jul-23,Ceredigion,
1096,Jul-23,Conwy,
1119,Jul-23,Denbighshire,
1099,Jul-23,Flintshire,
943,Jul-23,Gwynedd,
1065,Jul-23,Merthyr Tydfil,
952,Jul-23,Monmouthshire,
992,Jul-23,Neath Port Talbot,
1105,Jul-23,Newport,
1004,Jul-23,Pembrokeshire,
815,Jul-23,Powys,
1112,Jul-23,"Rhondda, Cynon, Taff",
903,Jul-23,Swansea,
779,Jul-23,Torfaen,
1038,Jul-23,Vale of Glamorgan,
1266,Jul-23,Wrexham,
1066.436405,Aug-23,Wales,Average
1246,Aug-23,Isle of Anglesey,
1100,Aug-23,Blaenau Gwent,
1013,Aug-23,Bridgend,
975,Aug-23,Caerphilly,
1056,Aug-23,Cardiff,
959,Aug-23,Carmarthenshire,
976,Aug-23,Ceredigion,
1156,Aug-23,Conwy,
1232,Aug-23,Denbighshire,
1046,Aug-23,Flintshire,
894,Aug-23,Gwynedd,
1110,Aug-23,Merthyr Tydfil,
1305,Aug-23,Monmouthshire,
954,Aug-23,Neath Port Talbot,
1122,Aug-23,Newport,
957,Aug-23,Pembrokeshire,
813,Aug-23,Powys,
1059,Aug-23,"Rhondda, Cynon, Taff",
916,Aug-23,Swansea,
1198,Aug-23,Torfaen,
1244,Aug-23,Vale of Glamorgan,
1226,Aug-23,Wrexham,
1060.724837,Sep-23,Wales,Average
835,Sep-23,Isle of Anglesey,
826,Sep-23,Blaenau Gwent,
1178,Sep-23,Bridgend,
1094,Sep-23,Caerphilly,
1027,Sep-23,Cardiff,
1026,Sep-23,Carmarthenshire,
951,Sep-23,Ceredigion,
1057,Sep-23,Conwy,
952,Sep-23,Denbighshire,
1063,Sep-23,Flintshire,
1124,Sep-23,Gwynedd,
1235,Sep-23,Merthyr Tydfil,
1159,Sep-23,Monmouthshire,
1100,Sep-23,Neath Port Talbot,
1012,Sep-23,Newport,
1123,Sep-23,Pembrokeshire,
1028,Sep-23,Powys,
1118,Sep-23,"Rhondda, Cynon, Taff",
999,Sep-23,Swansea,
981,Sep-23,Torfaen,
1182,Sep-23,Vale of Glamorgan,
1194,Sep-23,Wrexham,
1013.325802,Oct-23,Wales,Average
968,Oct-23,Isle of Anglesey,
1024,Oct-23,Blaenau Gwent,
1238,Oct-23,Bridgend,
1139,Oct-23,Caerphilly,
1000,Oct-23,Cardiff,
816,Oct-23,Carmarthenshire,
723,Oct-23,Ceredigion,
1013,Oct-23,Conwy,
973,Oct-23,Denbighshire,
1098,Oct-23,Flintshire,
943,Oct-23,Gwynedd,
997,Oct-23,Merthyr Tydfil,
972,Oct-23,Monmouthshire,
995,Oct-23,Neath Port Talbot,
1120,Oct-23,Newport,
857,Oct-23,Pembrokeshire,
1018,Oct-23,Powys,
1116,Oct-23,"Rhondda, Cynon, Taff",
908,Oct-23,Swansea,
797,Oct-23,Torfaen,
1058,Oct-23,Vale of Glamorgan,
1141,Oct-23,Wrexham,
971.9364706,Nov-23,Wales,Average
935,Nov-23,Isle of Anglesey,
1210,Nov-23,Blaenau Gwent,
1051,Nov-23,Bridgend,
953,Nov-23,Caerphilly,
890,Nov-23,Cardiff,
894,Nov-23,Carmarthenshire,
915,Nov-23,Ceredigion,
1062,Nov-23,Conwy,
1028,Nov-23,Denbighshire,
1078,Nov-23,Flintshire,
878,Nov-23,Gwynedd,
1177,Nov-23,Merthyr Tydfil,
934,Nov-23,Monmouthshire,
1052,Nov-23,Neath Port Talbot,
966,Nov-23,Newport,
850,Nov-23,Pembrokeshire,
864,Nov-23,Powys,
1018,Nov-23,"Rhondda, Cynon, Taff",
799,Nov-23,Swansea,
942,Nov-23,Torfaen,
1026,Nov-23,Vale of Glamorgan,
1065,Nov-23,Wrexham,
1005.762448,Dec-23,Wales,Average
727,Dec-23,Isle of Anglesey,
1025,Dec-23,Blaenau Gwent,
1108,Dec-23,Bridgend,
1275,Dec-23,Caerphilly,
1076,Dec-23,Cardiff,
793,Dec-23,Carmarthenshire,
759,Dec-23,Ceredigion,
1029,Dec-23,Conwy,
851,Dec-23,Denbighshire,
1130,Dec-23,Flintshire,
741,Dec-23,Gwynedd,
1211,Dec-23,Merthyr Tydfil,
1233,Dec-23,Monmouthshire,
937,Dec-23,Neath Port Talbot,
898,Dec-23,Newport,
1100,Dec-23,Pembrokeshire,
713,Dec-23,Powys,
1213,Dec-23,"Rhondda, Cynon, Taff",
979,Dec-23,Swansea,
810,Dec-23,Torfaen,
1099,Dec-23,Vale of Glamorgan,
1150,Dec-23,Wrexham,
871.7915905,Jan-24,Wales,Average
848,Jan-24,Isle of Anglesey,
872,Jan-24,Blaenau Gwent,
931,Jan-24,Bridgend,
988,Jan-24,Caerphilly,
863,Jan-24,Cardiff,
667,Jan-24,Carmarthenshire,
811,Jan-24,Ceredigion,
893,Jan-24,Conwy,
945,Jan-24,Denbighshire,
981,Jan-24,Flintshire,
723,Jan-24,Gwynedd,
1210,Jan-24,Merthyr Tydfil,
1062,Jan-24,Monmouthshire,
925,Jan-24,Neath Port Talbot,
842,Jan-24,Newport,
830,Jan-24,Pembrokeshire,
734,Jan-24,Powys,
1009,Jan-24,"Rhondda, Cynon, Taff",
729,Jan-24,Swansea,
646,Jan-24,Torfaen,
991,Jan-24,Vale of Glamorgan,
903,Jan-24,Wrexham,
923.3423181,Feb-24,Wales,Average
890,Feb-24,Isle of Anglesey,
891,Feb-24,Blaenau Gwent,
999,Feb-24,Bridgend,
919,Feb-24,Caerphilly,
1025,Feb-24,Cardiff,
749,Feb-24,Carmarthenshire,
495,Feb-24,Ceredigion,
991,Feb-24,Conwy,
928,Feb-24,Denbighshire,
855,Feb-24,Flintshire,
988,Feb-24,Gwynedd,
1079,Feb-24,Merthyr Tydfil,
877,Feb-24,Monmouthshire,
928,Feb-24,Neath Port Talbot,
1030,Feb-24,Newport,
541,Feb-24,Pembrokeshire,
891,Feb-24,Powys,
995,Feb-24,"Rhondda, Cynon, Taff",
880,Feb-24,Swansea,
635,Feb-24,Torfaen,
838,Feb-24,Vale of Glamorgan,
1050,Feb-24,Wrexham,
999.8691207,Mar-24,Wales,Average
920,Mar-24,Isle of Anglesey,
1232,Mar-24,Blaenau Gwent,
1017,Mar-24,Bridgend,
887,Mar-24,Caerphilly,
1165,Mar-24,Cardiff,
943,Mar-24,Carmarthenshire,
742,Mar-24,Ceredigion,
1055,Mar-24,Conwy,
901,Mar-24,Denbighshire,
950,Mar-24,Flintshire,
995,Mar-24,Gwynedd,
1081,Mar-24,Merthyr Tydfil,
887,Mar-24,Monmouthshire,
987,Mar-24,Neath Port Talbot,
1099,Mar-24,Newport,
943,Mar-24,Pembrokeshire,
813,Mar-24,Powys,
995,Mar-24,"Rhondda, Cynon, Taff",
996,Mar-24,Swansea,
787,Mar-24,Torfaen,
974,Mar-24,Vale of Glamorgan,
938,Mar-24,Wrexham,
1060.739414,Apr-24,Wales,Average
1346,Apr-24,Isle of Anglesey,
947,Apr-24,Blaenau Gwent,
983,Apr-24,Bridgend,
732,Apr-24,Caerphilly,
1117,Apr-24,Cardiff,
928,Apr-24,Carmarthenshire,
713,Apr-24,Ceredigion,
1201,Apr-24,Conwy,
1338,Apr-24,Denbighshire,
1045,Apr-24,Flintshire,
1189,Apr-24,Gwynedd,
1247,Apr-24,Merthyr Tydfil,
1215,Apr-24,Monmouthshire,
1218,Apr-24,Neath Port Talbot,
975,Apr-24,Newport,
1349,Apr-24,Pembrokeshire,
926,Apr-24,Powys,
1037,Apr-24,"Rhondda, Cynon, Taff",
999,Apr-24,Swansea,
774,Apr-24,Torfaen,
1049,Apr-24,Vale of Glamorgan,
1161,Apr-24,Wrexham,
1061.781006,May-24,Wales,Average
609,May-24,Isle of Anglesey,
1150,May-24,Blaenau Gwent,
1058,May-24,Bridgend,
1267,May-24,Caerphilly,
1029,May-24,Cardiff,
989,May-24,Carmarthenshire,
834,May-24,Ceredigion,
1061,May-24,Conwy,
1202,May-24,Denbighshire,
1230,May-24,Flintshire,
789,May-24,Gwynedd,
1005,May-24,Merthyr Tydfil,
822,May-24,Monmouthshire,
1370,May-24,Neath Port Talbot,
985,May-24,Newport,
1241,May-24,Pembrokeshire,
853,May-24,Powys,
1072,May-24,"Rhondda, Cynon, Taff",
997,May-24,Swansea,
934,May-24,Torfaen,
1123,May-24,Vale of Glamorgan,
1214,May-24,Wrexham,
1094.110429,Jun-24,Wales,Average
804,Jun-24,Isle of Anglesey,
1152,Jun-24,Blaenau Gwent,
997,Jun-24,Bridgend,
968,Jun-24,Caerphilly,
1206,Jun-24,Cardiff,
807,Jun-24,Carmarthenshire,
834,Jun-24,Ceredigion,
1345,Jun-24,Conwy,
1169,Jun-24,Denbighshire,
1276,Jun-24,Flintshire,
973,Jun-24,Gwynedd,
1336,Jun-24,Merthyr Tydfil,
928,Jun-24,Monmouthshire,
1112,Jun-24,Neath Port Talbot,
1114,Jun-24,Newport,
1024,Jun-24,Pembrokeshire,
1066,Jun-24,Powys,
1137,Jun-24,"Rhondda, Cynon, Taff",
1007,Jun-24,Swansea,
952,Jun-24,Torfaen,
1116,Jun-24,Vale of Glamorgan,
1260,Jun-24,Wrexham,
1128.758939,Jul-24,Wales,Average
1155,Jul-24,Isle of Anglesey,
1172,Jul-24,Blaenau Gwent,
1195,Jul-24,Bridgend,
1037,Jul-24,Caerphilly,
1278,Jul-24,Cardiff,
949,Jul-24,Carmarthenshire,
796,Jul-24,Ceredigion,
1339,Jul-24,Conwy,
1147,Jul-24,Denbighshire,
1635,Jul-24,Flintshire,
1162,Jul-24,Gwynedd,
1085,Jul-24,Merthyr Tydfil,
909,Jul-24,Monmouthshire,
1200,Jul-24,Neath Port Talbot,
1116,Jul-24,Newport,
926,Jul-24,Pembrokeshire,
904,Jul-24,Powys,
1280,Jul-24,"Rhondda, Cynon, Taff",
1071,Jul-24,Swansea,
798,Jul-24,Torfaen,
1194,Jul-24,Vale of Glamorgan,
982,Jul-24,Wrexham,
1115.187423,Aug-24,Wales,Average
1008,Aug-24,Isle of Anglesey,
1485,Aug-24,Blaenau Gwent,
1198,Aug-24,Bridgend,
1201,Aug-24,Caerphilly,
1261,Aug-24,Cardiff,
983,Aug-24,Carmarthenshire,
652,Aug-24,Ceredigion,
1077,Aug-24,Conwy,
1327,Aug-24,Denbighshire,
1262,Aug-24,Flintshire,
958,Aug-24,Gwynedd,
1152,Aug-24,Merthyr Tydfil,
855,Aug-24,Monmouthshire,
1016,Aug-24,Neath Port Talbot,
1173,Aug-24,Newport,
1031,Aug-24,Pembrokeshire,
979,Aug-24,Powys,
1083,Aug-24,"Rhondda, Cynon, Taff",
1127,Aug-24,Swansea,
855,Aug-24,Torfaen,
1017,Aug-24,Vale of Glamorgan,
1070,Aug-24,Wrexham,
1085.771331,Sep-24,Wales,Average
934,Sep-24,Isle of Anglesey,
1314,Sep-24,Blaenau Gwent,
1222,Sep-24,Bridgend,
972,Sep-24,Caerphilly,
1148,Sep-24,Cardiff,
1056,Sep-24,Carmarthenshire,
791,Sep-24,Ceredigion,
1164,Sep-24,Conwy,
1226,Sep-24,Denbighshire,
894,Sep-24,Flintshire,
1268,Sep-24,Gwynedd,
1146,Sep-24,Merthyr Tydfil,
929,Sep-24,Monmouthshire,
1236,Sep-24,Neath Port Talbot,
1100,Sep-24,Newport,
1149,Sep-24,Pembrokeshire,
909,Sep-24,Powys,
1055,Sep-24,"Rhondda, Cynon, Taff",
885,Sep-24,Swansea,
976,Sep-24,Torfaen,
1146,Sep-24,Vale of Glamorgan,
1112,Sep-24,Wrexham,
1191.499322,Oct-24,Wales,Average
1135,Oct-24,Isle of Anglesey,
972,Oct-24,Blaenau Gwent,
1607,Oct-24,Bridgend,
1082,Oct-24,Caerphilly,
1194,Oct-24,Cardiff,
1103,Oct-24,Carmarthenshire,
965,Oct-24,Ceredigion,
1354,Oct-24,Conwy,
1322,Oct-24,Denbighshire,
1418,Oct-24,Flintshire,
1070,Oct-24,Gwynedd,
1084,Oct-24,Merthyr Tydfil,
1248,Oct-24,Monmouthshire,
1326,Oct-24,Neath Port Talbot,
1481,Oct-24,Newport,
934,Oct-24,Pembrokeshire,
1064,Oct-24,Powys,
1107,Oct-24,"Rhondda, Cynon, Taff",
889,Oct-24,Swansea,
1223,Oct-24,Torfaen,
1252,Oct-24,Vale of Glamorgan,
1288,Oct-24,Wrexham,
1157.793388,Nov-24,Wales,Average
1362,Nov-24,Isle of Anglesey,
1393,Nov-24,Blaenau Gwent,
1212,Nov-24,Bridgend,
989,Nov-24,Caerphilly,
1163,Nov-24,Cardiff,
956,Nov-24,Carmarthenshire,
956,Nov-24,Ceredigion,
1457,Nov-24,Conwy,
1141,Nov-24,Denbighshire,
1316,Nov-24,Flintshire,
1065,Nov-24,Gwynedd,
1570,Nov-24,Merthyr Tydfil,
1002,Nov-24,Monmouthshire,
1249,Nov-24,Neath Port Talbot,
1227,Nov-24,Newport,
923,Nov-24,Pembrokeshire,
672,Nov-24,Powys,
1250,Nov-24,"Rhondda, Cynon, Taff",
1036,Nov-24,Swansea,
847,Nov-24,Torfaen,
1346,Nov-24,Vale of Glamorgan,
1191,Nov-24,Wrexham,
1182.903716,Dec-24,Wales,Average
943,Dec-24,Isle of Anglesey,
946,Dec-24,Blaenau Gwent,
1299,Dec-24,Bridgend,
1026,Dec-24,Caerphilly,
1222,Dec-24,Cardiff,
1132,Dec-24,Carmarthenshire,
1066,Dec-24,Ceredigion,
1170,Dec-24,Conwy,
1215,Dec-24,Denbighshire,
1416,Dec-24,Flintshire,
915,Dec-24,Gwynedd,
1278,Dec-24,Merthyr Tydfil,
1204,Dec-24,Monmouthshire,
1156,Dec-24,Neath Port Talbot,
1349,Dec-24,Newport,
1330,Dec-24,Pembrokeshire,
854,Dec-24,Powys,
1196,Dec-24,"Rhondda, Cynon, Taff",
1021,Dec-24,Swansea,
970,Dec-24,Torfaen,
1202,Dec-24,Vale of Glamorgan,
1078,Dec-24,Wrexham,
1198.219144,Jan-25,Wales,Average
1367.982308,Jan-25,Isle of Anglesey,
1161.57375,Jan-25,Blaenau Gwent,
1425.887813,Jan-25,Bridgend,
1166.308571,Jan-25,Caerphilly,
1223.911818,Jan-25,Cardiff,
1058.117105,Jan-25,Carmarthenshire,
932.29875,Jan-25,Ceredigion,
1168.488947,Jan-25,Conwy,
1287.9448,Jan-25,Denbighshire,
1116.920857,Jan-25,Flintshire,
1106.032,Jan-25,Gwynedd,
1034.980588,Jan-25,Merthyr Tydfil,
1074.235263,Jan-25,Monmouthshire,
1206.023556,Jan-25,Neath Port Talbot,
1262.774483,Jan-25,Newport,
1004.394118,Jan-25,Pembrokeshire,
1183.659048,Jan-25,Powys,
1522.115652,Jan-25,"Rhondda, Cynon, Taff",
1075.982059,Jan-25,Swansea,
1160.513,Jan-25,Torfaen,
1045.66963,Jan-25,Vale of Glamorgan,
1160.59,Jan-25,Wrexham,
1280.499214,Feb-25,Wales,Average
1124.815625,Feb-25,Isle of Anglesey,
884.7713043,Feb-25,Blaenau Gwent,
1287.331,Feb-25,Bridgend,
1308.397727,Feb-25,Caerphilly,
1354.08395,Feb-25,Cardiff,
1323.542927,Feb-25,Carmarthenshire,
1095.233684,Feb-25,Ceredigion,
1209.544762,Feb-25,Conwy,
1335.369231,Feb-25,Denbighshire,
1248.343103,Feb-25,Flintshire,
1487.154545,Feb-25,Gwynedd,
1352.337391,Feb-25,Merthyr Tydfil,
870.3511111,Feb-25,Monmouthshire,
1265.638,Feb-25,Neath Port Talbot,
1427.544655,Feb-25,Newport,
1250.462143,Feb-25,Pembrokeshire,
942.5461111,Feb-25,Powys,
1318.601618,Feb-25,"Rhondda, Cynon, Taff",
1088.140816,Feb-25,Swansea,
949.526,Feb-25,Torfaen,
1550.27975,Feb-25,Vale of Glamorgan,
1442.944815,Feb-25,Wrexham,
1252.847105,Mar-25,Wales,Average
795.8405,Mar-25,Isle of Anglesey,
1078.682727,Mar-25,Blaenau Gwent,
1573.254688,Mar-25,Bridgend,
1434.167778,Mar-25,Caerphilly,
1298.835822,Mar-25,Cardiff,
1151.030962,Mar-25,Carmarthenshire,
877.6188889,Mar-25,Ceredigion,
1400.557273,Mar-25,Conwy,
1467.260714,Mar-25,Denbighshire,
1211.295,Mar-25,Flintshire,
1103.170286,Mar-25,Gwynedd,
1378.37619,Mar-25,Merthyr Tydfil,
960.8407143,Mar-25,Monmouthshire,
1143.428824,Mar-25,Neath Port Talbot,
1471.427955,Mar-25,Newport,
805.1681818,Mar-25,Pembrokeshire,
1327.888696,Mar-25,Powys,
1203.625094,Mar-25,"Rhondda, Cynon, Taff",
1175.783793,Mar-25,Swansea,
1070.508,Mar-25,Torfaen,
1277.331786,Mar-25,Vale of Glamorgan,
1331.294706,Mar-25,Wrexham,
1290.522882,Apr-25,Wales,Average
1220.081765,Apr-25,Isle of Anglesey,
1535.396364,Apr-25,Blaenau Gwent,
1484.606757,Apr-25,Bridgend,
1261.367966,Apr-25,Caerphilly,
1339.653767,Apr-25,Cardiff,
1013.181837,Apr-25,Carmarthenshire,
895.1782353,Apr-25,Ceredigion,
1806.563333,Apr-25,Conwy,
1334.564688,Apr-25,Denbighshire,
1375.335556,Apr-25,Flintshire,
1499.631951,Apr-25,Gwynedd,
1514.639615,Apr-25,Merthyr Tydfil,
1248.07,Apr-25,Monmouthshire,
1367.887647,Apr-25,Neath Port Talbot,
1345.9895,Apr-25,Newport,
1013.261,Apr-25,Pembrokeshire,
1094.965294,Apr-25,Powys,
1301.312381,Apr-25,"Rhondda, Cynon, Taff",
1129.219444,Apr-25,Swansea,
1182.4752,Apr-25,Torfaen,
1192.472258,Apr-25,Vale of Glamorgan,
1069.888158,Apr-25,Wrexham,
1205.076642,May-25,Wales,Average
1159.685833,May-25,Isle of Anglesey,
1166.320476,May-25,Blaenau Gwent,
1221.8784,May-25,Bridgend,
1092.817381,May-25,Caerphilly,
1203.726875,May-25,Cardiff,
1119.613265,May-25,Carmarthenshire,
1223.992,May-25,Ceredigion,
1211.701923,May-25,Conwy,
1198.697027,May-25,Denbighshire,
1230.240714,May-25,Flintshire,
1080.586429,May-25,Gwynedd,
1703.777273,May-25,Merthyr Tydfil,
1386.971765,May-25,Monmouthshire,
984.1465854,May-25,Neath Port Talbot,
1308.35,May-25,Newport,
1042.935833,May-25,Pembrokeshire,
1147.413684,May-25,Powys,
1222.942745,May-25,"Rhondda, Cynon, Taff",
1102.335,May-25,Swansea,
1151.975333,May-25,Torfaen,
1318.884516,May-25,Vale of Glamorgan,
1406.684,May-25,Wrexham,
1184.546897,Jun-25,Wales,Average
977.3342105,Jun-25,Isle of Anglesey,
1261.993571,Jun-25,Blaenau Gwent,
1274.686889,Jun-25,Bridgend,
1243.105882,Jun-25,Caerphilly,
1261.648618,Jun-25,Cardiff,
1074.3176,Jun-25,Carmarthenshire,
921.6815,Jun-25,Ceredigion,
1018.1875,Jun-25,Conwy,
1398.317708,Jun-25,Denbighshire,
1181.199333,Jun-25,Flintshire,
1009.748605,Jun-25,Gwynedd,
1135.246667,Jun-25,Merthyr Tydfil,
1309.868,Jun-25,Monmouthshire,
1365.923382,Jun-25,Neath Port Talbot,
1484.736667,Jun-25,Newport,
1141.775714,Jun-25,Pembrokeshire,
625.9810714,Jun-25,Powys,
1209.365179,Jun-25,"Rhondda, Cynon, Taff",
1091.439787,Jun-25,Swansea,
905.4137931,Jun-25,Torfaen,
1140.611915,Jun-25,Vale of Glamorgan,
1190.201333,Jun-25,Wrexham,
1225.996804,Jul-25,Wales,Average
923.9963158,Jul-25,Isle of Anglesey,
1381.987692,Jul-25,Blaenau Gwent,
1380.874688,Jul-25,Bridgend,
1151.995152,Jul-25,Caerphilly,
1313.537407,Jul-25,Cardiff,
1121.105294,Jul-25,Carmarthenshire,
1099.7025,Jul-25,Ceredigion,
1425.11,Jul-25,Conwy,
1414.972041,Jul-25,Denbighshire,
874.07,Jul-25,Flintshire,
1170.186327,Jul-25,Gwynedd,
1396.468846,Jul-25,Merthyr Tydfil,
743.99,Jul-25,Monmouthshire,
1298.337647,Jul-25,Neath Port Talbot,
1340.708451,Jul-25,Newport,
1043.475806,Jul-25,Pembrokeshire,
1017.628444,Jul-25,Powys,
1267.155,Jul-25,"Rhondda, Cynon, Taff",
1141.837067,Jul-25,Swansea,
1268.871143,Jul-25,Torfaen,
1228.747692,Jul-25,Vale of Glamorgan,
1213.7625,Jul-25,Wrexham,
1247.529465,Aug-25,Wales,Average
1192.658824,Aug-25,Isle of Anglesey,
1176.988235,Aug-25,Blaenau Gwent,
1456.355556,Aug-25,Bridgend,
1151.134545,Aug-25,Caerphilly,
1286.289189,Aug-25,Cardiff,
1008.888525,Aug-25,Carmarthenshire,
1188,Aug-25,Ceredigion,
1365.973333,Aug-25,Conwy,
1381.233333,Aug-25,Denbighshire,
1181.344444,Aug-25,Flintshire,
1342.816216,Aug-25,Gwynedd,
1453.815385,Aug-25,Merthyr Tydfil,
1282.4375,Aug-25,Monmouthshire,
1084.492308,Aug-25,Neath Port Talbot,
1288.116667,Aug-25,Newport,
1027.235294,Aug-25,Pembrokeshire,
1119.585366,Aug-25,Powys,
1245.290196,Aug-25,"Rhondda, Cynon, Taff",
1123.587755,Aug-25,Swansea,
1280.422857,Aug-25,Torfaen,
1442.104762,Aug-25,Vale of Glamorgan,
1411.3,Aug-25,Wrexham,
