School,Location,Boarding_1930,Day_1930,Boarding_1940,Day_1940,Boarding_1950,Day_1950,Boarding_1960,Day_1960,Boarding_1970,Day_1970,Boarding_1980,Day_1980,Boarding_1990,Day_1990,Boarding_2000,Day_2000,Boarding_2010,Day_2010,Boarding_2020,Day_2020,Boarding_2025,Day_2025
Charterhouse,Godalming,175,63,175,96,264,,390,,675,,2805,2190,8700,7230,15588,12882,28440,23505,"40695","33630",60048,46773
Eton College,Windsor,230,,245,,308,,460,,684,,2520,,8496,,15660,,28851,,"42501",,"63298",
Harrow,Middlesex,216,90,220,82,315,175,426,213,669,,2730,2047,8850,,15900,,28545,,"42600",,"63735",
Merchant Taylor's,Northwood,,40,135,45,105,69,276,150,550,360,1995,1410,7050,4500,13500,8000,,14679,,"21526",,"31947"
Rugby,Warwickshire,201,75,200,30,270,68,411,132,675,297,2670,1404,7575,4525,15375,9225,27225,16965,"36798","23088","58920","37350"
St Paul's,Barnes,150,45,135,45,201,75,306,129,567,363,2118,1263,7901,4969,14910,9810,25773,17388,"38991","25908","53943","35847"
Shrewsbury,Shrewsbury,180,44,180,60,236,85,378,165,675,345,2655,1650,8100,5715,15150,10665,26400,18696,"37560","27165","54744","37548"
Westminster,London,160,80,160,75,240,140,408,279,663,390,2670,1680,7950,5250,16068,11130,28344,21282,"41607","28809","65976","49950"
Winchester College,Winchester,200,,210,,256,,414,,672,,2760,2070,8658,6495,16110,12474,28845,27405,"41709",,"60000","44400"
