LA (code),LA (name),EstablishmentName,EstablishmentTypeGroup (name),Gender (name),ReligiousCharacter (name),NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,Street,Address3,Town,County (code),County (name),Postcode,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),GSSLACode (code),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),PropsName,Country (code),Country (name),MSOA (code),LSOA (code),FSM,Latitude,Longitude
873,Cambridgeshire,Abbey College Cambridge,Independent schools,Mixed,,428.0,229.0,199.0,,Homerton Gardens,Cambridge,Cambridgeshire,99,,CB2 8EB,G,East of England,E07000008,Cambridge,E10000003,E10000003,545914,256385,Cambridge 013,Cambridge 013E,Abbey DLD Colleges Ltd,0,,E02003731,E01017996,,52.1864135743509,0.13297858161632200
355,Salford,Beis Ruchel Girls School,Independent schools,Girls,,214.0,0.0,214.0,,11 Norton Street,,,99,,M7 4AJ,B,North West,E08000006,Salford,E08000006,E08000006,383334,401060,Salford 031,Salford 031A,B Krausz,0,,E02006957,E01005613,,53.50596172125130,-2.2527465611971400
888,Lancashire,Al-Ikhlaas Primary School,Independent schools,Mixed,Islam,152.0,64.0,88.0,,35 Norfolk Street,,Nelson,19,Lancashire,BB9 7SY,B,North West,E07000122,Pendle,E10000017,E10000017,385614,438118,Pendle 011,Pendle 011C,Fountains of Knowledge,0,,E02005250,E01025229,,53.839109742360900,-2.2201020013961400
203,Greenwich,StreetVibes Media Academy,Independent schools,Mixed,,25.0,15.0,10.0,,6 Eltham High Street,,London,99,,SE9 1DA,H,London,E09000011,Greenwich,E09000011,E09000011,542505,174452,Greenwich 028,Greenwich 028C,Sonia Ramanah,0,,E02000340,E01001615,,51.45112611936530,0.049463229068745200
850,Hampshire,New Forest Small School Ltd,Independent schools,Mixed,,65.0,35.0,30.0,,1 Southampton Road,,Lyndhurst,16,Hampshire,SO43 7BU,J,South East,E07000091,New Forest,E10000014,E10000014,430821,108572,New Forest 007,New Forest 007C,The New Forest Small School Ltd,0,,E02004785,E01023045,,50.87582841390970,-1.563314159137620
355,Salford,Beis Malka Girls school,Independent schools,Girls,Orthodox Jewish,338.0,0.0,338.0,,399-401 Bury New Road,,Salford,99,,M7 2BT,B,North West,E08000006,Salford,E08000006,E08000006,382766,401093,Salford 031,Salford 031B,Yitzi Isaac Luftig,0,,E02006957,E01005612,,53.50623990452370,-2.2613121671924600
822,Bedford,KWS School,Independent schools,Mixed,,24.0,19.0,5.0,,51 Brunel Road,,Bedford,1,Bedfordshire,MK41 9TJ,G,East of England,E06000055,Bedford,E06000055,E06000055,507083,249764,Bedford 011,Bedford 011B,Karl Weaver,GB,United Kingdom,E02003626,E01017525,,52.135808635751300,-0.43684758671693100
330,Birmingham,Hazrat Khadijatul Kubra Girls School,Independent schools,Girls,Islam,101.0,0.0,101.0,,18 Dixon Road,,Birmingham,37,West Midlands,B10 0BP,F,West Midlands,E08000025,Birmingham,E08000025,E08000025,408992,285795,Birmingham 071,Birmingham 071B,: Hazrat Khadijatul Kubra Girls,0,,E02001897,E01009363,,52.470019092798900,-1.8690590248080000
355,Salford,Tiferes,Independent schools,Girls,,389.0,0.0,389.0,,Grecian Street North,Broughton,Salford,99,,M7 2JR,B,North West,E08000006,Salford,E08000006,E08000006,382393,400452,Salford 032,Salford 032D,Michoel de Vries,0,,E02006958,E01005615,,53.50046596550700,-2.266899724305840
826,Milton Keynes,Broughton Manor Preparatory School,Independent schools,Mixed,,272.0,140.0,132.0,,Newport Road,,Milton Keynes,2,Buckinghamshire,MK10 9AA,J,South East,E06000042,Milton Keynes,E06000042,E06000042,489544,240044,Milton Keynes 033,Milton Keynes 033A,Chatsworth Schools Ltd,0,,E02007012,E01033503,,52.05156033108630,-0.6955775832435460
845,East Sussex,Annan School,Independent schools,Mixed,,97.0,49.0,48.0,,Annan Farm,Easons Green,Uckfield,11,East Sussex,TN22 5RE,J,South East,E07000065,Wealden,E10000011,E10000011,550730,117733,Wealden 008,Wealden 008C,Mr M and Mrs D Hunter,0,,E02004410,E01021170,,50.939345962764000,0.14395317791966100
380,Bradford,Eternal Light,Independent schools,Boys,,155.0,155.0,0.0,,Christopher Street,,Bradford,39,West Yorkshire,BD5 9DH,D,Yorkshire and the Humber,E08000032,Bradford,E08000032,E08000032,415253,431106,Bradford 051,Bradford 051C,"Mr Ahmed Ali, Mr Abdur Raqeeb & Mr Feizal Patel",0,,E02002233,E01010739,,53.77606863426350,-1.7700331072806800
306,Croydon,Cumnor House School,Independent schools,Girls,,143.0,0.0,143.0,,1 Woodcote Lane,Purley,,34,Surrey,CR8 3HB,H,London,E09000008,Croydon,E09000008,E09000008,529701,161600,Croydon 038,Croydon 038E,Cognita Schools Ltd,0,,E02000231,E01001094,,51.33870190660220,-0.139387155839596
304,Brent,Bnos Beis Yaakov Primary School,Independent schools,Girls,,99.0,0.0,99.0,,Kingsbury Synagogue,,London,99,,NW9 8XR,H,London,E09000005,Brent,E09000005,E09000005,520396,188514,Brent 005,Brent 005A,Bnos Beis Yaakov Primary School Ltd,0,,E02000097,E01000518,,51.58263399568490,-0.26374734921519
888,Lancashire,The Alternative School,Independent schools,Mixed,,152.0,118.0,34.0,,30 St. James Street,,Accrington,19,Lancashire,BB5 1NT,B,North West,E07000120,Hyndburn,E10000017,E10000017,375893,428428,Hyndburn 008,Hyndburn 008B,Kirsty-Anne Pugh,GB,United Kingdom,E02005219,E01025036,,53.751655975095200,-2.367064268272120
391,Newcastle upon Tyne,Bahr Academy,Independent schools,Girls,Sunni Deobandi,30.0,0.0,30.0,,72 Sceptre Street,,Newcastle-upon-Tyne,35,Tyne and Wear,NE4 6PR,A,North East,E08000021,Newcastle upon Tyne,E08000021,E08000021,423097,564111,Newcastle upon Tyne 041,Newcastle upon Tyne 041A,Muhammad Abdulmuheet,0,,E02007104,E01008331,,54.97108673217000,-1.6407327727781900
