LA (code),LA (name),EstablishmentName,EstablishmentTypeGroup (name),Gender (name),ReligiousCharacter (name),NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,Street,Address3,Town,County (code),County (name),Postcode,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),GSSLACode (code),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),PropsName,Country (code),Country (name),MSOA (code),LSOA (code),FSM,Latitude,Longitude
201,City of London,City of London School for Girls,Independent schools,Girls,,780.0,0.0,780.0,,St Giles' Terrace,,London,99,,EC2Y 8BB,H,London,E09000001,City of London,E09000001,E09000001,532301,181746,City of London 001,City of London 001B,Corporation of London,0,,E02000001,E01000002,,51.519147751673400,-0.09456610848601130
201,City of London,St Paul's Cathedral School,Independent schools,Mixed,Church of England,285.0,169.0,116.0,,2 New Change,,London,99,,EC4M 9AD,H,London,E09000001,City of London,E09000001,E09000001,532160,181151,City of London 001,City of London 001F,Chapter of the Cathedral Church of St Paul’s,0,,E02000001,E01032739,,51.51383377622710,-0.09682000273167770
201,City of London,City of London School,Independent schools,Boys,,1074.0,1074.0,0.0,,107 Queen Victoria Street,,London,99,,EC4V 3AL,H,London,E09000001,City of London,E09000001,E09000001,531981,180844,City of London 001,City of London 001F,City of London Corporation(Board of Governors of City of London School,0,,E02000001,E01032739,,51.51111672763240,-0.09951288956918300
202,Camden,St Christopher's School,Independent schools,Girls,,255.0,0.0,255.0,,32 Belsize Lane,,London,99,,NW3 5AE,H,London,E09000007,Camden,E09000007,E09000007,526978,185153,Camden 008,Camden 008D,St Christopher's School,0,,E02000173,E01000897,,51.550986393502900,-0.17001487949955400
202,Camden,St Margaret's School,Independent schools,Girls,,163.0,0.0,163.0,,18 Kidderpore Gardens,,London,99,,NW3 7SR,H,London,E09000007,Camden,E09000007,E09000007,525551,185876,Camden 004,Camden 004D,St Margaret's School (Hampstead) Ltd,0,,E02000169,E01000884,,51.55780295341190,-0.19032725779219200
202,Camden,Sarum Hall School,Independent schools,Girls,Church of England,186.0,0.0,186.0,,15 Eton Avenue,,London,99,,NW3 3EL,H,London,E09000007,Camden,E09000007,E09000007,527291,184479,Camden 014,Camden 014B,Sarum Hall School Trust Ltd,0,,E02000179,E01000845,,51.54485884487710,-0.16574665272914200
202,Camden,The Hall School,Independent schools,Boys,Church of England,474.0,474.0,0.0,,23 Crossfield Road,,London,99,,NW3 4NU,H,London,E09000007,Camden,E09000007,E09000007,526932,184533,Camden 011,Camden 011B,The Hall School Charitable Trust,0,,E02000176,E01000844,,51.54542491561050,-0.17090144249659000
202,Camden,University College School,Independent schools,Mixed,,1305.0,1196.0,109.0,,Frognal,,London,99,,NW3 6XH,H,London,E09000007,Camden,E09000007,E09000007,526202,185414,Camden 004,Camden 004B,University College School,0,,E02000169,E01000879,,51.55350589993640,-0.18110733346445600
202,Camden,The Cavendish School,Independent schools,Girls,Roman Catholic,187.0,0.0,187.0,,31 Inverness Street,,London,99,,NW1 7HB,H,London,E09000007,Camden,E09000007,E09000007,528739,183866,Camden 021,Camden 021A,The Cavendish School Charitable Trust Ltd,0,,E02000186,E01000863,,51.539021860360600,-0.14510095989782200
202,Camden,"St Mary's School, Hampstead",Independent schools,Girls,Roman Catholic,207.0,0.0,207.0,,47 Fitzjohn's Avenue,,,99,,NW3 6PG,H,London,E09000007,Camden,E09000007,E09000007,526543,185092,Camden 008,Camden 008A,St Mary's School Hampstead,0,,E02000173,E01000881,,51.5505358326321,-0.17630729803929800
202,Camden,North Bridge House Nursery & Pre-Prep Schools,Independent schools,Mixed,,198.0,112.0,86.0,,8 Netherhall Gardens,,London,99,,NW3 5RR,H,London,E09000007,Camden,E09000007,E09000007,526368,184811,Camden 008,Camden 008C,Cognita Schools Ltd,0,,E02000173,E01000883,,51.548049713293500,-0.17893073275725100
202,Camden,Hereward House School,Independent schools,Boys,,162.0,162.0,0.0,,14 Strathray Gardens,,London,99,,NW3 4NY,H,London,E09000007,Camden,E09000007,E09000007,527001,184495,Camden 011,Camden 011B,Leonie Sampson,0,,E02000176,E01000844,,51.545067907947400,-0.16992063834280100
202,Camden,St Anthony's School for Boys,Independent schools,Boys,Catholic,266.0,260.0,6.0,,90 Fitzjohn's Avenue,,,99,,NW3 6NP,H,London,E09000007,Camden,E09000007,E09000007,526536,185454,Camden 008,Camden 008D,Alpha Plus Group Limited,GB,United Kingdom,E02000173,E01000897,,51.553790631878400,-0.17627809709909100
202,Camden,Hampstead Hill School,Independent schools,Mixed,,373.0,204.0,169.0,,St Stephen's,Hampstead,London,99,,NW3 2PP,H,London,E09000007,Camden,E09000007,E09000007,527085,185400,Camden 008,Camden 008E,ANDREA TAYLOR,0,,E02000173,E01000898,,51.55318206222860,-0.16838332929013200
202,Camden,North Bridge House Senior School,Independent schools,Mixed,,437.0,309.0,128.0,,65 Rosslyn Hill,,,99,,NW3 5UD,H,London,E09000007,Camden,E09000007,E09000007,526640,185531,Camden 002,Camden 002B,Cognita Schools Ltd,0,,E02000167,E01000894,,51.554459303353700,-0.17475115196661300
202,Camden,Trevor-Roberts School,Independent schools,Mixed,,163.0,92.0,71.0,,55-57 Eton Avenue,,London,99,,NW3 3ET,H,London,E09000007,Camden,E09000007,E09000007,526981,184414,Camden 011,Camden 011B,Trevor-Roberts School LTD,0,,E02000176,E01000844,,51.54434447283090,-0.17023810045487200
202,Camden,South Hampstead High School GDST,Independent schools,Girls,,954.0,0.0,954.0,,3 Maresfield Gardens,,London,99,,NW3 5SS,H,London,E09000007,Camden,E09000007,E09000007,526491,184607,Camden 008,Camden 008C,Girls Day School Trust,0,,E02000173,E01000883,,51.54618886618020,-0.17723107899252400
202,Camden,Heathside Preparatory School,Independent schools,Mixed,,105.0,70.0,35.0,,84A Heath Street,London,London,99,,NW3 1DN,H,London,E09000007,Camden,E09000007,E09000007,526506,185985,Camden 002,Camden 002C,Hampstead Schools Ltd,0,,E02000167,E01000895,,51.55856935512430,-0.17651972907673800
202,Camden,Devonshire House Preparatory School,Independent schools,Mixed,,471.0,289.0,182.0,,2,Hampstead,London,99,,NW3 6AE,H,London,E09000007,Camden,E09000007,E09000007,526456,185413,Camden 004,Camden 004B,Dukes Education,GB,United Kingdom,E02000169,E01000879,,51.55344009214240,-0.17744609143802100
202,Camden,Broadhurst School,Independent schools,Mixed,,102.0,55.0,47.0,,19 Greencroft Gardens,,London,99,,NW6 3LP,H,London,E09000007,Camden,E09000007,E09000007,526211,184422,Camden 016,Camden 016A,Brian Berkery,0,,E02000181,E01000962,,51.54458892895320,-0.18133314076265300
202,Camden,College Francais Bilingue De Londres,Independent schools,Mixed,,698.0,372.0,326.0,,87 Holmes Road,Kentish Town,London,99,,NW5 3AX,H,London,E09000007,Camden,E09000007,E09000007,528672,184981,Camden 007,Camden 007E,College  Francais Bilingue de Londres Limited,0,,E02000172,E01000922,,51.54905727604760,-0.1456591767109080
202,Camden,Fine Arts College,Independent schools,Mixed,,209.0,74.0,135.0,,Centre Studios,Belsize Park,London,99,,NW3 4YD,H,London,E09000007,Camden,E09000007,E09000007,527535,184578,Camden 014,Camden 014B,Dukes Education,0,,E02000179,E01000845,,51.545693499001000,-0.16219405782323700
202,Camden,The Mulberry House School,Independent schools,Mixed,,190.0,104.0,86.0,,7 Minster Road,,London,99,,NW2 3SD,H,London,E09000007,Camden,E09000007,E09000007,524389,185149,Camden 005,Camden 005B,The Mulberry House School Ltd,GB,United Kingdom,E02000170,E01000872,,51.55152661023140,-0.20733706855605800
202,Camden,Southbank International School Hampstead,Independent schools,Mixed,,165.0,89.0,76.0,,16 Netherhall Gardens,,London,99,,NW3 5TH,H,London,E09000007,Camden,E09000007,E09000007,526368,184950,Camden 008,Camden 008A,Cognita Schools Ltd,0,,E02000173,E01000881,,51.54929888457890,-0.17888085190616400
203,Greenwich,The Pointer School,Independent schools,Mixed,,347.0,220.0,127.0,,19 Stratheden Road,,London,99,,SE3 7TH,H,London,E09000011,Greenwich,E09000011,E09000011,540209,177029,Greenwich 021,Greenwich 021A,Dukes Education Group Ltd,0,,E02000333,E01001580,,51.47485557877610,0.01746371389228050
203,Greenwich,Blackheath Prep,Independent schools,Mixed,,388.0,191.0,197.0,,4 St German's Place,,London,99,,SE3 0NJ,H,London,E09000011,Greenwich,E09000011,E09000011,540095,176757,Greenwich 021,Greenwich 021C,Eltham College,0,,E02000333,E01001583,,51.472439619673300,0.015715581443840200
203,Greenwich,Riverston School,Independent schools,Mixed,,205.0,127.0,78.0,,63-69 Eltham Road,,London,99,,SE12 8UF,H,London,E09000011,Greenwich,E09000011,E09000011,540433,174828,Greenwich 034,Greenwich 034C,Cavendish Education Ltd,0,,E02006927,E01001658,,51.45502205138430,0.019813337582021600
203,Greenwich,St Olave's Prep School,Independent schools,Mixed,,215.0,109.0,106.0,,106-110 Southwood Road,,London,99,,SE9 3QS,H,London,E09000011,Greenwich,E09000011,E09000011,543704,172762,Greenwich 032,Greenwich 032C,St Olave's School Trust,0,,E02000344,E01001600,,51.435637532902100,0.06602102927212610
203,Greenwich,Colfe's School,Independent schools,Mixed,,1308.0,739.0,569.0,,Horn Park Lane,,London,99,,SE12 8AW,H,London,E09000011,Greenwich,E09000011,E09000011,540572,174309,Greenwich 034,Greenwich 034D,Colfe's School,0,,E02006927,E01001659,,51.45032388624830,0.021606529645405700
209,Lewisham,Heath House Preparatory School,Independent schools,Mixed,,120.0,71.0,49.0,,37 Wemyss Road,,London,99,,SE3 0TG,H,London,E09000023,Lewisham,E09000023,E09000023,539675,176150,Lewisham 009,Lewisham 009B,Heath House Prep School Ltd,0,,E02000661,E01003200,,51.467088876893600,0.009432685522551240
204,Hackney,Yesodey Hatorah School,Independent schools,Boys,,203.0,203.0,0.0,,2-4 Amhurst Park,,London,99,,N16 5AE,H,London,E09000012,Hackney,E09000012,E09000012,533530,187905,Hackney 001,Hackney 001A,Yesodey Hatorah Schools,0,,E02000345,E01001808,,51.57420555852500,-0.07452822693564600
204,Hackney,Talmud Torah Yetev Lev,Independent schools,Boys,,483.0,483.0,0.0,,111-115 Cazenove Road,,London,99,,N16 6AX,H,London,E09000012,Hackney,E09000012,E09000012,534258,187015,Hackney 029,Hackney 029B,Talmud Torah Education,0,,E02006921,E01001728,,51.56603508006130,-0.06436921997801770
204,Hackney,Bnois Jerusalem Girls School,Independent schools,Girls,,615.0,0.0,615.0,,"71, 75-81 Amhurst Park",,London,99,,N16 5DL,H,London,E09000012,Hackney,E09000012,E09000012,532994,187930,Hackney 003,Hackney 003D,Bnois Jerusalem School,0,,E02000347,E01001807,,51.574556800235700,-0.08224869394190960
204,Hackney,Beis Rochel d'Satmar Girls' School,Independent schools,Mixed,Orthodox Jewish,1326.0,0.0,1326.0,,51-57 Amhurst Park,,London,99,,N16 5DL,H,London,E09000012,Hackney,E09000012,E09000012,533153,187929,Hackney 003,Hackney 003D,Beis Rochel D'satmar Charitable Trust,0,,E02000347,E01001807,,51.574510316623300,-0.07995603721310810
204,Hackney,Talmud Torah Machzikei Hadass School,Independent schools,Boys,Charadi Jewish,533.0,533.0,0.0,,1 Belz Terrace,,London,99,,E5 9SN,H,London,E09000012,Hackney,E09000012,E09000012,534146,187743,Hackney 001,Hackney 001E,Moreshet Hatorah Ltd,0,,E02000345,E01001825,,51.57260368482550,-0.06570645670450250
204,Hackney,Beis Malka Girls' School,Independent schools,Girls,,599.0,21.0,578.0,,93 Alkham Road,,LONDON,99,,N16 6XD,H,London,E09000012,Hackney,E09000012,E09000012,533811,187086,Hackney 006,Hackney 006B,AARON GROSSMAN,0,,E02000350,E01001724,,51.566779251316600,-0.07078742388439140
204,Hackney,Talmud Torah Chaim Meirim Wiznitz School,Independent schools,Boys,,241.0,241.0,0.0,,26 Lampard Grove,,London,99,,N16 6XB,H,London,E09000012,Hackney,E09000012,E09000012,533841,187130,Hackney 006,Hackney 006B,Chaim Meirim Association,0,,E02000350,E01001724,,51.56716753362030,-0.07033811041599700
204,Hackney,Bobov Primary Boys School,Independent schools,Boys,,221.0,221.0,0.0,,87-90 Egerton Road,,,99,,N16 6UE,H,London,E09000012,Hackney,E09000012,E09000012,533958,187920,Hackney 001,Hackney 001C,Boruch Halberstam,0,,E02000345,E01001814,,51.574238908411500,-0.06835015151746500
204,Hackney,T T T Y Y School,Independent schools,Boys,,150.0,150.0,0.0,,14 Heathland Road,,London,99,,N16 5NH,H,London,E09000012,Hackney,E09000012,E09000012,533064,187207,Hackney 003,Hackney 003B,TTY Institution Trust,0,,E02000347,E01001802,,51.56804319605060,-0.08151274651341810
204,Hackney,Tayyibah Girls' School,Independent schools,Girls,,173.0,0.0,173.0,,88 Filey Avenue,,London,99,,N16 6JJ,H,London,E09000012,Hackney,E09000012,E09000012,534460,187173,Hackney 029,Hackney 029B,Tayyibah Educational Trust,0,,E02006921,E01001728,,51.5674068174053,-0.06139623667822180
205,Hammersmith and Fulham,St Paul's Girls' School,Independent schools,Girls,Church of England,824.0,0.0,824.0,,Brook Green,,London,99,,W6 7BS,H,London,E09000013,Hammersmith and Fulham,E09000013,E09000013,523743,178859,Hammersmith and Fulham 010,Hammersmith and Fulham 010D,St Paul's Girls' School (The Board of Governors),0,,E02000381,E01001869,,51.49513982430960,-0.21885648927775200
205,Hammersmith and Fulham,Bute House Preparatory School for Girls,Independent schools,Girls,,328.0,0.0,328.0,,Luxembourg Gardens,,,99,,W6 7EA,H,London,E09000013,Hammersmith and Fulham,E09000013,E09000013,523535,178929,Hammersmith and Fulham 010,Hammersmith and Fulham 010D,Bute House Prep School for Girls,GB,United Kingdom,E02000381,E01001869,,51.495814368578700,-0.221826724746539
205,Hammersmith and Fulham,The Godolphin and Latymer School,Independent schools,Girls,,804.0,0.0,804.0,,Iffley Road,,London,99,,W6 0PG,H,London,E09000013,Hammersmith and Fulham,E09000013,E09000013,522972,178861,Hammersmith and Fulham 009,Hammersmith and Fulham 009C,The Godolphin and Latymer School Foundation,0,,E02000380,E01001897,,51.49532586628950,-0.22995644046071000
205,Hammersmith and Fulham,Latymer Upper School and Latymer Prep,Independent schools,Mixed,,1428.0,723.0,705.0,,237 King Street,,London,99,,W6 9LR,H,London,E09000013,Hammersmith and Fulham,E09000013,E09000013,522457,178593,Hammersmith and Fulham 011,Hammersmith and Fulham 011C,The Latymer Foundation,0,,E02000382,E01001932,,51.493028970767700,-0.23746423501412300
205,Hammersmith and Fulham,Ecole Française de Londres Jacques Prévert,Independent schools,Mixed,,262.0,131.0,131.0,,59 Brook Green,,London,99,,W6 7BE,H,London,E09000013,Hammersmith and Fulham,E09000013,E09000013,523811,178942,Hammersmith and Fulham 010,Hammersmith and Fulham 010D,Ecole Francaise de Londres Jacques Prevert Ltd,0,,E02000381,E01001869,,51.495870881636200,-0.21784835649685700
205,Hammersmith and Fulham,Evergreen Primary School,Independent schools,Mixed,Islam,73.0,36.0,37.0,,9 Swan Mews,,,99,,SW6 4QT,H,London,E09000013,Hammersmith and Fulham,E09000013,E09000013,525016,176786,Hammersmith and Fulham 021,Hammersmith and Fulham 021D,Ms Rena Begum,GB,United Kingdom,E02000392,E01001950,,51.47622987397460,-0.20126168713394000
205,Hammersmith and Fulham,Ravenscourt Park Preparatory School,Independent schools,Mixed,,418.0,212.0,206.0,,16 Ravenscourt Avenue,,London,99,,W6 0SL,H,London,E09000013,Hammersmith and Fulham,E09000013,E09000013,522386,178711,Hammersmith and Fulham 011,Hammersmith and Fulham 011C,Maria Gardener,0,,E02000382,E01001932,,51.49410482119950,-0.23844555263541800
205,Hammersmith and Fulham,L'Ecole des Petits School,Independent schools,Mixed,,107.0,57.0,50.0,,2 Hazlebury Road,,London,99,,SW6 2NB,H,London,E09000013,Hammersmith and Fulham,E09000013,E09000013,525738,176341,Hammersmith and Fulham 025,Hammersmith and Fulham 025C,L'Ecole des Petits Limited,0,,E02000396,E01001937,,51.47207079457780,-0.19102923682981800
206,Islington,Dallington School,Independent schools,Mixed,,62.0,48.0,14.0,,8 Dallington Street,Greater London,United Kingdom,99,,EC1V 0BW,H,London,E09000019,Islington,E09000019,E09000019,531874,182346,Islington 022,Islington 022G,Abigail Hercules,0,,E02000575,E01033489,,51.5246394000955,-0.100492373551977
201,City of London,Charterhouse Square School,Independent schools,Mixed,,298.0,158.0,140.0,,33-40 Charterhouse Square,,London,99,,EC1M 6EA,H,London,E09000001,City of London,E09000001,E09000001,531998,181875,City of London 001,City of London 001G,Cognita Schools Ltd,0,,E02000001,E01032740,,51.520377828568700,-0.09888232021048760
207,Kensington and Chelsea,Glendower Preparatory School,Independent schools,Girls,,292.0,0.0,292.0,,86/87 Queen's Gate,,London,99,,SW7 5JX,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,526502,178797,Kensington and Chelsea 016,Kensington and Chelsea 016C,Glendower School Trust Ltd,0,,E02000592,E01002835,,51.493972607255100,-0.17915625210038500
205,Hammersmith and Fulham,Kensington Prep School GDST,Independent schools,Girls,,298.0,0.0,298.0,,596 Fulham Road,,,99,,SW6 5PA,H,London,E09000013,Hammersmith and Fulham,E09000013,E09000013,524946,176910,Hammersmith and Fulham 021,Hammersmith and Fulham 021D,Girls' Day School Trust,GB,United Kingdom,E02000392,E01001950,,51.477359720274100,-0.20222528213436900
207,Kensington and Chelsea,Norland Place School,Independent schools,Mixed,,210.0,88.0,122.0,,162-166 Holland Park Avenue,,London,99,,W11 4UH,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,524211,180097,Kensington and Chelsea 007,Kensington and Chelsea 007C,Norland Place School Limited,0,,E02000583,E01002873,,51.506163300829000,-0.21168294050150100
207,Kensington and Chelsea,Queen's Gate School,Independent schools,Girls,,443.0,0.0,443.0,,133 Queen's Gate,,London,99,,SW7 5LE,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,526555,178883,Kensington and Chelsea 016,Kensington and Chelsea 016F,Queens Gate School Trust Ltd,0,,E02000592,E01035713,,51.49473363285360,-0.17836240212581000
207,Kensington and Chelsea,Bassett House School,Independent schools,Mixed,,124.0,70.0,54.0,,60 Bassett Road,,,99,,W10 6JP,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,523767,181435,Kensington and Chelsea 003,Kensington and Chelsea 003E,Dukes Education,0,,E02000579,E01002909,,51.518285350064700,-0.21760776328992300
207,Kensington and Chelsea,Sussex House School,Independent schools,Boys,Church of England,187.0,187.0,0.0,,68 Cadogan Square,,London,99,,SW1X 0EA,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,527728,178892,Kensington and Chelsea 012,Kensington and Chelsea 012C,Sussex House School,0,,E02000588,E01002859,,51.494550973183100,-0.16147134999077100
207,Kensington and Chelsea,St Philip's School,Independent schools,Boys,Roman Catholic,78.0,78.0,0.0,,6 Wetherby Place,,London,99,,SW7 4NE,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,526259,178659,Kensington and Chelsea 016,Kensington and Chelsea 016D,St Philip's School Trust Ltd,0,,E02000592,E01002836,,51.49278667580230,-0.18270404438294600
207,Kensington and Chelsea,Hill House School,Independent schools,Mixed,,465.0,299.0,166.0,,Hans Place,,London,99,,SW1X 0EP,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,527797,179194,Kensington and Chelsea 012,Kensington and Chelsea 012A,Richard Townend,0,,E02000588,E01002818,,51.497249418417700,-0.16036868898530700
207,Kensington and Chelsea,Wetherby School,Independent schools,Boys,,324.0,324.0,0.0,,11 Pembridge Square,,London,99,,W2 4ED,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,525308,180690,Kensington and Chelsea 006,Kensington and Chelsea 006D,Alpha Plus Group Limited,0,,E02000582,E01002885,,51.51125064149930,-0.19567454415050800
207,Kensington and Chelsea,Falkner House,Independent schools,Mixed,,355.0,163.0,192.0,,19 Brechin Place,,London,99,,SW7 4QB,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,526362,178482,Kensington and Chelsea 016,Kensington and Chelsea 016E,Falkner House LLP,0,,E02000592,E01002837,,51.49117299844870,-0.18128449938923900
207,Kensington and Chelsea,More House School,Independent schools,Girls,Roman Catholic,121.0,0.0,121.0,,22-24 Pont Street,,Knightsbridge,99,,SW1X 0AA,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,527841,179203,Kensington and Chelsea 012,Kensington and Chelsea 012A,More House Trust Ltd,0,,E02000588,E01002818,,51.497320360608300,-0.15973192577581200
207,Kensington and Chelsea,Garden House School,Independent schools,Mixed,,445.0,176.0,269.0,,Turks Row,,,99,,SW3 4TW,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,527991,178367,Kensington and Chelsea 018,Kensington and Chelsea 018D,Mr C Warland and Mrs S Strafford,GB,United Kingdom,E02000594,E01002902,,51.48977346742640,-0.15787514026777300
205,Hammersmith and Fulham,St James Senior Girls' School,Independent schools,Girls,,225.0,0.0,225.0,,Earsby Street,,,99,,W14 8SH,H,London,E09000013,Hammersmith and Fulham,E09000013,E09000013,524403,178848,Hammersmith and Fulham 012,Hammersmith and Fulham 012A,Independent Educational Ass Ltd,0,,E02000383,E01001866,,51.49489626109160,-0.20935794916075300
936,Surrey,St James Senior Boys' School,Independent schools,Boys,,327.0,327.0,0.0,,Church Road,,Ashford,34,Surrey,TW15 3DZ,J,South East,E07000213,Spelthorne,E10000030,E10000030,506562,172173,Spelthorne 003,Spelthorne 003A,Jeremy Sinclair,0,,E02006405,E01030707,,51.43854024432080,-0.4682618553441150
208,Lambeth,DLD College,Independent schools,Mixed,,377.0,181.0,196.0,,199 Westminster Bridge Road,,,99,,SE1 7FX,H,London,E09000022,Lambeth,E09000022,E09000022,530862,179609,Lambeth 036,Lambeth 036A,Abbey DLD Colleges Ltd,GB,United Kingdom,E02006801,E01003013,,51.50027832088480,-0.11608636776690700
212,Wandsworth,Thomas's Battersea,Independent schools,Mixed,,535.0,301.0,234.0,,28-40 Battersea High Street,,London,99,,SW11 3JB,H,London,E09000032,Wandsworth,E09000032,E09000032,526893,176621,Wandsworth 004,Wandsworth 004D,Thomas's London Day Schools,0,,E02000926,E01004581,,51.474329534808700,-0.17430824939800600
207,Kensington and Chelsea,Pembridge Hall School,Independent schools,Girls,,462.0,0.0,462.0,,18 Pembridge Square,,London,99,,W2 4EH,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,525456,180726,Kensington and Chelsea 006,Kensington and Chelsea 006D,Alpha Plus Group Limited,GB,United Kingdom,E02000582,E01002885,,51.511541362027500,-0.19353017050485600
207,Kensington and Chelsea,Instituto Espanol Canada Blanch,Independent schools,Mixed,,416.0,190.0,226.0,,317 Portobello Road,,London,99,,W10 5SZ,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,524369,181680,Kensington and Chelsea 001,Kensington and Chelsea 001D,Spanish Embassy Educational Attache,0,,E02000577,E01002855,,51.52035508193430,-0.20884963911413600
207,Kensington and Chelsea,Knightsbridge School,Independent schools,Mixed,Does not apply,378.0,188.0,190.0,,67 Pont Street,,London,99,,SW1X 0BD,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,527623,179103,Kensington and Chelsea 012,Kensington and Chelsea 012E,Dukes Education,0,,E02000588,E01002863,,51.49647088738720,-0.16290680084594200
207,Kensington and Chelsea,Thomas's Kensington,Independent schools,Mixed,,327.0,147.0,180.0,,1 St. Albans Grove,,London,99,,W8 5PN,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,525872,179320,Kensington and Chelsea 010,Kensington and Chelsea 010C,Thomas's London Day Schools,GB,United Kingdom,E02000586,E01002890,,51.49881327045900,-0.18804000145402100
213,Westminster,Kensington Park School,Independent schools,Mixed,,200.0,132.0,68.0,,40-44 Bark Place,,London,99,,W2 4AT,H,London,E09000033,Westminster,E09000033,E09000033,525723,180696,Westminster 017,Westminster 017B,Star Education Investment Limited,0,,E02000976,E01004693,,51.511212462786500,-0.18969536330656200
207,Kensington and Chelsea,Ashbourne College,Independent schools,Mixed,,243.0,126.0,117.0,,17 Old Court Place,,London,99,,W8 4PL,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,525763,179751,Kensington and Chelsea 008,Kensington and Chelsea 008C,Michael J Hatchard-Kirby,0,,E02000584,E01002826,,51.502710892549400,-0.18945594596486000
207,Kensington and Chelsea,Cameron Vale School,Independent schools,Mixed,,66.0,34.0,32.0,,4 The Vale,,London,99,,SW3 6AH,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,526802,177872,Kensington and Chelsea 019,Kensington and Chelsea 019D,Forfar Chelsea Limited,0,,E02000595,E01002911,,51.48559257016030,-0.17516911944686300
207,Kensington and Chelsea,Collingham,Independent schools,Mixed,,142.0,70.0,72.0,,23 Collingham Gardens,,London,99,,SW5 0HL,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,525866,178591,Kensington and Chelsea 013,Kensington and Chelsea 013B,Collingham Ltd,0,,E02000589,E01002834,,51.492263102418500,-0.18838616095461800
207,Kensington and Chelsea,Mander Portman Woodward School,Independent schools,Mixed,,563.0,270.0,293.0,,90-92 Queen's Gate,,LONDON,99,,SW7 5AB,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,526502,178737,Kensington and Chelsea 016,Kensington and Chelsea 016C,Mander Portman Woodward Ltd,0,,E02000592,E01002835,,51.49343339146480,-0.1791777380183440
207,Kensington and Chelsea,Southbank International School Kensington,Independent schools,Mixed,,160.0,80.0,80.0,,36-38 Kensington Park Road,,London,99,,W11 3BU,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,525102,180625,Kensington and Chelsea 006,Kensington and Chelsea 006B,Cognita Schools Ltd,0,,E02000582,E01002883,,51.51071209077690,-0.19866451544087800
213,Westminster,Brighton College Prep Kensington,Independent schools,Mixed,,325.0,168.0,157.0,,10-13 Princes Gardens,,,99,,SW7 1ND,H,London,E09000033,Westminster,E09000033,E09000033,526943,179499,Westminster 019,Westminster 019F,Cognita Schools Ltd,GB,United Kingdom,E02000978,E01004692,,51.50018265403980,-0.17255489346931900
201,City of London,David Game College,Independent schools,Mixed,,314.0,169.0,145.0,,31 Jewry Street,,,99,,EC3N 2ET,H,London,E09000001,City of London,E09000001,E09000001,533574,181078,City of London 001,City of London 001E,Mr D T P Game,0,,E02000001,E01000005,,51.51284554302280,-0.07648260955351650
207,Kensington and Chelsea,La Petite Ecole Francaise,Independent schools,Mixed,,124.0,55.0,69.0,,,,London,99,,W10 6EJ,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,523810,181595,Kensington and Chelsea 002,Kensington and Chelsea 002B,Devika Malik,0,,E02000578,E01002905,,51.519713868547800,-0.21693219333081300
207,Kensington and Chelsea,Lycee Francais Charles de Gaulle,Independent schools,Mixed,,3450.0,1735.0,1715.0,,35 Cromwell Road,SW7 2DG,London,99,,SW7 2DG,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,526663,178950,Kensington and Chelsea 016,Kensington and Chelsea 016F,French State,0,,E02000592,E01035713,,51.49531159314740,-0.1767834796828250
208,Lambeth,Alleyn's Oakfield,Independent schools,Mixed,,271.0,140.0,131.0,,125-128 Thurlow Park Road,,,99,,SE21 8HP,H,London,E09000022,Lambeth,E09000022,E09000022,532627,173038,Lambeth 025,Lambeth 025B,Alleyn's School,0,,E02000642,E01003165,,51.44081690539760,-0.09313715698025730
208,Lambeth,Rosemead Preparatory School,Independent schools,Mixed,,291.0,162.0,129.0,,70 Thurlow Park Road,,London,99,,SE21 8HZ,H,London,E09000022,Lambeth,E09000022,E09000022,532233,172849,Lambeth 028,Lambeth 028D,St Dunstan's Education Group,0,,E02000645,E01003166,,51.43921046675810,-0.09887324659609860
