quote_date,region_name,price
1998-03-01,North,1.74875
1998-03-01,North West,2.0483334
1998-03-01,Northern Ireland,1.9466667
1998-03-01,Scotland,1.9766668
1998-03-01,South East,1.9903449
1998-03-01,South West,1.8692307
1998-03-01,Wales,1.8362501
1998-03-01,West Midlands,1.9873333
1998-03-01,Yorkshire & Humber,1.8721428
1998-04-01,East Anglia,2.21
1998-04-01,East Midlands,1.7399999
1998-04-01,London,1.9641176
1998-04-01,North,1.7633333
1998-04-01,North West,2.1223078
1998-04-01,Northern Ireland,2.286
1998-04-01,Scotland,2.029091
1998-04-01,South East,2.0085185
1998-04-01,South West,1.8833333
1998-04-01,Wales,1.84875
1998-04-01,West Midlands,1.9815385
1998-04-01,Yorkshire & Humber,1.8714285
1998-05-01,East Anglia,2.182
1998-05-01,East Midlands,1.7399999
1998-05-01,London,1.9426666
1998-05-01,North,1.786
1998-05-01,North West,2.095
1998-05-01,Northern Ireland,2.286
1998-05-01,Scotland,2.03125
1998-05-01,South East,2.0307143
1998-05-01,South West,1.8409091
1998-05-01,Wales,1.7342857
1998-05-01,West Midlands,1.9740001
1998-05-01,Yorkshire & Humber,1.8635714
1998-06-01,East Anglia,2.1499999
1998-06-01,East Midlands,1.7290001
1998-06-01,London,1.8992308
1998-06-01,North,1.778889
1998-06-01,North West,2.1416667
1998-06-01,Northern Ireland,2.3633335
1998-06-01,Scotland,1.978
1998-06-01,South East,2.0170968
1998-06-01,South West,1.8975
1998-06-01,Wales,1.7083334
1998-06-01,West Midlands,1.955
1998-06-01,Yorkshire & Humber,1.5450001
1998-07-01,East Anglia,2.1766667
1998-07-01,East Midlands,1.5433334
1998-07-01,London,2.0961537
1998-07-01,North,1.8775
1998-07-01,North West,2.24875
1998-07-01,Northern Ireland,2.32
1998-07-01,Scotland,2.0518181
1998-07-01,South East,2.0828
1998-07-01,South West,1.7866666
1998-07-01,Wales,1.842
1998-07-01,West Midlands,2.0636365
1998-07-01,Yorkshire & Humber,1.6583333
1998-08-01,East Anglia,2.32
1998-08-01,East Midlands,1.76
1998-08-01,London,2.1325
1998-08-01,North,1.9499999
1998-08-01,North West,2.0028572
1998-08-01,Northern Ireland,2.09
1998-08-01,Scotland,1.924
1998-08-01,South East,1.9979167
1998-08-01,South West,1.687
1998-08-01,Wales,1.7883333
1998-08-01,West Midlands,2.201
1998-08-01,Yorkshire & Humber,1.75
1998-09-01,East Anglia,2.2940001
1998-09-01,East Midlands,1.773
1998-09-01,London,1.9608334
1998-09-01,North,1.8814286
1998-09-01,North West,1.767
1998-09-01,Northern Ireland,1.9
1998-09-01,Scotland,2.098
1998-09-01,South East,1.9485185
1998-09-01,South West,1.7366667
1998-09-01,Wales,1.6985714
1998-09-01,West Midlands,2.1372728
1998-09-01,Yorkshire & Humber,1.6340001
1998-10-01,East Anglia,2.242
1998-10-01,East Midlands,1.90625
1998-10-01,London,2.26
1998-10-01,North,1.8442857
1998-10-01,North West,1.8145454
1998-10-01,Northern Ireland,1.9
1998-10-01,Scotland,2.1100001
1998-10-01,South East,2.3779998
1998-10-01,South West,2.346
1998-10-01,Wales,1.965
1998-10-01,West Midlands,2.255
1998-10-01,Yorkshire & Humber,2.105
1998-11-01,East Anglia,2.1933334
1998-11-01,East Midlands,1.7122222
1998-11-01,London,2.1430001
1998-11-01,North,1.8542856
1998-11-01,North West,1.935
1998-11-01,Northern Ireland,1.82
1998-11-01,Scotland,2.12
1998-11-01,South East,2.0341177
1998-11-01,South West,2.09125
1998-11-01,Wales,1.6442858
1998-11-01,West Midlands,1.7836365
1998-11-01,Yorkshire & Humber,1.8100001
1998-12-01,East Anglia,2.1585715
1998-12-01,East Midlands,1.564
1998-12-01,London,1.9435713
1998-12-01,North,1.6755556
1998-12-01,North West,1.8484616
1998-12-01,Northern Ireland,1.6983334
1998-12-01,Scotland,2.30375
1998-12-01,South East,1.9758333
1998-12-01,South West,1.907
1998-12-01,Wales,1.6442858
1998-12-01,West Midlands,1.81
1998-12-01,Yorkshire & Humber,1.55
1999-01-01,East Anglia,2.095
1999-01-01,East Midlands,1.6889999
1999-01-01,London,2.0054545
1999-01-01,North,1.88
1999-01-01,North West,1.8077779
1999-01-01,Northern Ireland,2.17
1999-01-01,Scotland,2.185
1999-01-01,South East,1.8070588
1999-01-01,South West,1.8790001
1999-01-01,Wales,1.6585715
1999-01-01,West Midlands,1.97
1999-01-01,Yorkshire & Humber,1.375
1999-02-01,East Anglia,2.07
1999-02-01,East Midlands,1.6600001
1999-02-01,London,1.850625
1999-02-01,North,1.7677778
1999-02-01,North West,1.91
1999-02-01,Northern Ireland,1.9483334
1999-02-01,Scotland,1.9616667
1999-02-01,South East,1.8592592
1999-02-01,South West,1.8858334
1999-02-01,Wales,1.6585715
1999-02-01,West Midlands,1.8258333
1999-02-01,Yorkshire & Humber,1.3441668
1999-03-01,East Anglia,2.094
1999-03-01,East Midlands,1.5536364
1999-03-01,London,1.7994736
1999-03-01,North,1.72625
1999-03-01,North West,1.7416667
1999-03-01,Northern Ireland,1.9483334
1999-03-01,Scotland,1.9699999
1999-03-01,South East,1.8459259
1999-03-01,South West,1.9275001
1999-03-01,Wales,1.5971429
1999-03-01,West Midlands,1.715
1999-03-01,Yorkshire & Humber,1.3225
1999-04-01,East Anglia,2.07
1999-04-01,East Midlands,1.7072728
1999-04-01,London,1.8323529
1999-04-01,North,1.7511111
1999-04-01,North West,2.0033333
1999-04-01,Northern Ireland,1.9483334
1999-04-01,Scotland,1.9561539
1999-04-01,South East,1.8224137
1999-04-01,South West,1.9074999
1999-04-01,Wales,1.5875
1999-04-01,West Midlands,1.8491668
1999-04-01,Yorkshire & Humber,1.4145455
1999-05-01,East Anglia,2.07
1999-05-01,East Midlands,1.5866667
1999-05-01,London,1.8594118
1999-05-01,North,1.7511111
1999-05-01,North West,2.0158334
1999-05-01,Northern Ireland,1.9483334
1999-05-01,Scotland,2.0172727
1999-05-01,South East,1.7617857
