quote_date,description,item_id,price,item_name
1991-02-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0768108,Milk
1991-02-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6615179,Sugar
1991-03-01,BUTTER-HOME PRODUCED-250G,211301,0.62539536,Butter
1991-03-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0732168,Eggs
1991-03-01,FLOUR-SELF-RAISING-1.5KG,210201,0.59769785,Flour
1991-03-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0750778,Milk
1991-03-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.66442627,Sugar
1991-04-01,BUTTER-HOME PRODUCED-250G,211301,0.6258051,Butter
1991-04-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0247916,Eggs
1991-04-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6053333,Flour
1991-04-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0774641,Milk
1991-04-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6655469,Sugar
1991-05-01,BUTTER-HOME PRODUCED-250G,211301,0.6285321,Butter
1991-05-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0430069,Eggs
1991-05-01,FLOUR-SELF-RAISING-1.5KG,210201,0.62072,Flour
1991-05-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0802199,Milk
1991-05-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.66683334,Sugar
1991-06-01,BUTTER-HOME PRODUCED-250G,211301,0.6286547,Butter
1991-06-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0219864,Eggs
1991-06-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6359091,Flour
1991-06-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0783247,Milk
1991-06-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.66718256,Sugar
1991-07-01,BUTTER-HOME PRODUCED-250G,211301,0.63817775,Butter
1991-07-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,0.9788435,Eggs
1991-07-01,FLOUR-SELF-RAISING-1.5KG,210201,0.63889706,Flour
1991-07-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.074455,Milk
1991-07-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6701154,Sugar
1991-08-01,BUTTER-HOME PRODUCED-250G,211301,0.64381576,Butter
1991-08-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,0.9914094,Eggs
1991-08-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6285821,Flour
1991-08-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0717703,Milk
