Date,Region,Mean
1989-06-01,Northern Ireland,0.658
1989-06-01,Scotland,0.69
1989-06-01,South East,0.6852941
1989-06-01,South West,0.7146154
1989-06-01,Wales,0.6677778
1989-06-01,West Midlands,0.684
1989-06-01,Yorkshire & Humber,0.6972727
1989-07-01,East Anglia,0.6757143
1989-07-01,East Midlands,0.67636365
1989-07-01,London,0.74875
1989-07-01,North,0.6718182
1989-07-01,North West,0.6670588
1989-07-01,Northern Ireland,0.6775
1989-07-01,Scotland,0.69153845
1989-07-01,South East,0.68333334
1989-07-01,South West,0.70692307
1989-07-01,Wales,0.67777777
1989-07-01,West Midlands,0.69166666
1989-07-01,Yorkshire & Humber,0.67727274
1989-08-01,East Anglia,0.6542857
1989-08-01,East Midlands,0.67636365
1989-08-01,London,0.7422222
1989-08-01,North,0.68
1989-08-01,North West,0.66588235
1989-08-01,Northern Ireland,0.66
1989-08-01,Scotland,0.6918182
1989-08-01,South East,0.68625
1989-08-01,South West,0.71
1989-08-01,Wales,0.68666667
1989-08-01,West Midlands,0.6963636
1989-08-01,Yorkshire & Humber,0.69
1989-09-01,East Anglia,0.6625
1989-09-01,East Midlands,0.6818182
1989-09-01,London,0.737
1989-09-01,North,0.68545455
1989-09-01,North West,0.6694118
1989-09-01,Northern Ireland,0.684
1989-09-01,Scotland,0.70307696
1989-09-01,South East,0.68874997
1989-09-01,South West,0.7135714
1989-09-01,Wales,0.68888885
1989-09-01,West Midlands,0.7022222
1989-09-01,Yorkshire & Humber,0.68666667
1989-10-01,East Anglia,0.6614286
1989-10-01,East Midlands,0.691
1989-10-01,London,0.7188889
1989-10-01,North,0.6881818
1989-10-01,North West,0.67882353
1989-10-01,Northern Ireland,0.678
1989-10-01,Scotland,0.70142853
1989-10-01,South East,0.6892308
1989-10-01,South West,0.71000004
1989-10-01,Wales,0.70000005
1989-10-01,West Midlands,0.6944444
1989-10-01,Yorkshire & Humber,0.6872727
1989-11-01,East Anglia,0.6614286
1989-11-01,East Midlands,0.694
1989-11-01,London,0.736
1989-11-01,North,0.69200003
1989-11-01,North West,0.685
1989-11-01,Northern Ireland,0.678
1989-11-01,Scotland,0.7008333
1989-11-01,South East,0.69214284
1989-11-01,South West,0.7128571
1989-11-01,Wales,0.68888885
1989-11-01,West Midlands,0.69299996
1989-11-01,Yorkshire & Humber,0.68454546
1989-12-01,East Anglia,0.675
1989-12-01,East Midlands,0.69363636
1989-12-01,London,0.74
1989-12-01,North,0.7066667
1989-12-01,North West,0.68062496
1989-12-01,Northern Ireland,0.684
1989-12-01,Scotland,0.7008333
1989-12-01,South East,0.69875
1989-12-01,South West,0.70785713
1989-12-01,Wales,0.685
1989-12-01,West Midlands,0.70555556
1989-12-01,Yorkshire & Humber,0.6872727
1990-01-01,East Anglia,0.68
1990-01-01,East Midlands,0.6933333
1990-01-01,London,0.7309091
1990-01-01,North,0.69454545
1990-01-01,North West,0.6955555
1990-01-01,Northern Ireland,0.7
1990-01-01,Scotland,0.72846156
1990-01-01,South East,0.6893333
1990-01-01,South West,0.70285714
1990-01-01,Wales,0.689
1990-01-01,West Midlands,0.7054546
1990-01-01,Yorkshire & Humber,0.69363636
1990-02-01,East Anglia,0.70625
1990-02-01,East Midlands,0.72333336
1990-02-01,London,0.7577778
1990-02-01,North,0.734
1990-02-01,North West,0.7064706
1990-02-01,Northern Ireland,0.744
1990-02-01,Scotland,0.7261539
1990-02-01,South East,0.7173334
1990-02-01,South West,0.73538464
1990-02-01,Wales,0.702
1990-02-01,West Midlands,0.7154545
1990-02-01,Yorkshire & Humber,0.71153843
1990-03-01,East Anglia,0.745
1990-03-01,East Midlands,0.72888887
1990-03-01,London,0.7663637
1990-03-01,North,0.753
1990-03-01,North West,0.71588236
1990-03-01,Northern Ireland,0.72
1990-03-01,Scotland,0.7285714
1990-03-01,South East,0.721875
1990-03-01,South West,0.74785715
1990-03-01,Wales,0.7066667
1990-03-01,West Midlands,0.72166663
1990-03-01,Yorkshire & Humber,0.72384614
1990-04-01,East Anglia,0.73222226
1990-04-01,East Midlands,0.76199996
1990-04-01,London,0.77666664
1990-04-01,North,0.725
1990-04-01,North West,0.723125
1990-04-01,Northern Ireland,0.764
1990-04-01,Scotland,0.7307143
1990-04-01,South East,0.73375
1990-04-01,South West,0.74785715
1990-04-01,Wales,0.72800004
1990-04-01,West Midlands,0.73454547
1990-04-01,Yorkshire & Humber,0.75666666
1990-05-01,East Anglia,0.73
1990-05-01,East Midlands,0.765
1990-05-01,London,0.7945454
1990-05-01,North,0.737
1990-05-01,North West,0.73125
1990-05-01,Northern Ireland,0.715
1990-05-01,Scotland,0.74461544
1990-05-01,South East,0.74375004
1990-05-01,South West,0.75285715
1990-05-01,Wales,0.7122222
1990-05-01,West Midlands,0.73636365
1990-05-01,Yorkshire & Humber,0.73307693
1990-06-01,East Anglia,0.7277778
1990-06-01,East Midlands,0.73444444
1990-06-01,London,0.79583335
1990-06-01,North,0.737
1990-06-01,North West,0.73368424
1990-06-01,Northern Ireland,0.71400005
1990-06-01,Scotland,0.7453334
1990-06-01,South East,0.754
1990-06-01,South West,0.76000005
1990-06-01,Wales,0.71555555
1990-06-01,West Midlands,0.7316666
1990-06-01,Yorkshire & Humber,0.73538464
1990-07-01,East Anglia,0.7211111
1990-07-01,East Midlands,0.74888885
1990-07-01,London,0.77000004
1990-07-01,North,0.74230766
1990-07-01,North West,0.74777776
1990-07-01,Northern Ireland,0.6983333
1990-07-01,Scotland,0.7475
1990-07-01,South East,0.7452941
1990-07-01,South West,0.758
1990-07-01,Wales,0.70555556
1990-07-01,West Midlands,0.7418182
1990-07-01,Yorkshire & Humber,0.7381818
1990-08-01,East Anglia,0.73
1990-08-01,East Midlands,0.74899995
1990-08-01,London,0.77250004
1990-08-01,North,0.74461544
1990-08-01,North West,0.74315786
1990-08-01,Northern Ireland,0.6983333
1990-08-01,Scotland,0.76
1990-08-01,South East,0.754375
1990-08-01,South West,0.75083333
1990-08-01,Wales,0.73
1990-08-01,West Midlands,0.7390909
1990-08-01,Yorkshire & Humber,0.7475
1990-09-01,East Anglia,0.7644445
1990-09-01,East Midlands,0.7633333
1990-09-01,London,0.805
1990-09-01,North,0.7630769
1990-09-01,North West,0.7517647
1990-09-01,Northern Ireland,0.758
1990-09-01,Scotland,0.7808333
1990-09-01,South East,0.76647055
1990-09-01,South West,0.77153844
1990-09-01,Wales,0.7611111
1990-09-01,West Midlands,0.7708333
1990-09-01,Yorkshire & Humber,0.7775
1990-10-01,East Anglia,0.76100004
1990-10-01,East Midlands,0.7411111
1990-10-01,London,0.83555555
1990-10-01,North,0.77
1990-10-01,North West,0.76
1990-10-01,Northern Ireland,0.76
1990-10-01,Scotland,0.7809091
1990-10-01,South East,0.77533334
1990-10-01,South West,0.764
1990-10-01,Wales,0.77000004
1990-10-01,West Midlands,0.78666663
1990-10-01,Yorkshire & Humber,0.78416663
1990-11-01,East Anglia,0.774
1990-11-01,East Midlands,0.75100005
1990-11-01,London,0.8345455
1990-11-01,North,0.7763636
1990-11-01,North West,0.76526314
1990-11-01,Northern Ireland,0.7583334
1990-11-01,Scotland,0.7854546
1990-11-01,South East,0.785
1990-11-01,South West,0.7818182
1990-11-01,Wales,0.765
1990-11-01,West Midlands,0.7791667
1990-11-01,Yorkshire & Humber,0.78846157
1990-12-01,East Anglia,0.763
1990-12-01,East Midlands,0.7825
1990-12-01,London,0.84909093
1990-12-01,North,0.78363633
1990-12-01,North West,0.78368425
1990-12-01,Northern Ireland,0.76
1990-12-01,Scotland,0.78846157
1990-12-01,South East,0.7885714
1990-12-01,South West,0.77555555
1990-12-01,Wales,0.76375
1990-12-01,West Midlands,0.8027273
1990-12-01,Yorkshire & Humber,0.80153847
1991-01-01,East Anglia,0.77
1991-01-01,East Midlands,0.7728571
1991-01-01,London,0.8171429
1991-01-01,North,0.795
1991-01-01,North West,0.784375
1991-01-01,Northern Ireland,0.8025
1991-01-01,Scotland,0.7866667
1991-01-01,South East,0.7753846
1991-01-01,South West,0.77888894
1991-01-01,Wales,0.7644445
1991-01-01,West Midlands,0.80181813
1991-01-01,Yorkshire & Humber,0.78833336
1991-02-01,East Anglia,0.7785714
1991-02-01,East Midlands,0.81111115
1991-02-01,London,0.818
1991-02-01,North,0.812
1991-02-01,North West,0.7926316
1991-02-01,Northern Ireland,0.7625
1991-02-01,Scotland,0.78818184
1991-02-01,South East,0.77416664
1991-02-01,South West,0.807
1991-02-01,Wales,0.767
1991-02-01,West Midlands,0.8161538
1991-02-01,Yorkshire & Humber,0.78583336
1991-03-01,East Anglia,0.76454544
1991-03-01,East Midlands,0.80799997
1991-03-01,London,0.82
1991-03-01,North,0.80444443
1991-03-01,North West,0.79
1991-03-01,Northern Ireland,0.78000003
